"REF_DATE","GEO","DGUID","Type of service","Air carrier levels","Operating statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Canada","2016A000011124","Scheduled services","Total, Canadian air carriers, Levels I to III","Total tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615185","1.2.1.7","16818402","","","","0"
"2013","Canada","2016A000011124","Scheduled services","Total, Canadian air carriers, Levels I to III","Hours flown","Number","223","thousands","3","v122615186","1.2.1.8","2286","","","","0"
"2013","Canada","2016A000011124","Scheduled services","Canadian air carriers, Levels I and II","Passengers","Number","223","thousands","3","v122615187","1.2.2.2","63191","","","","0"
"2013","Canada","2016A000011124","Scheduled services","Canadian air carriers, Levels I and II","Goods carried","Kilograms","192","thousands","3","v122615188","1.2.2.3","442202","","","","0"
"2013","Canada","2016A000011124","Scheduled services","Canadian air carriers, Levels I and II","Passenger-kilometres","Number","223","thousands","3","v122615189","1.2.2.4","148212643","","","","0"
"2013","Canada","2016A000011124","Scheduled services","Canadian air carriers, Levels I and II","Passenger tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615190","1.2.2.5","14821264","","","","0"
"2013","Canada","2016A000011124","Scheduled services","Canadian air carriers, Levels I and II","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615191","1.2.2.6","1961740","","","","0"
"2013","Canada","2016A000011124","Scheduled services","Canadian air carriers, Levels I and II","Total tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615192","1.2.2.7","16783004","","","","0"
"2013","Canada","2016A000011124","Scheduled services","Canadian air carriers, Levels I and II","Hours flown","Number","223","thousands","3","v122615193","1.2.2.8","2180","","","","0"
"2013","Canada","2016A000011124","Scheduled services","Canadian air carriers, Level III","Passengers","Number","223","thousands","3","v122615194","1.2.3.2","468","","","","0"
"2013","Canada","2016A000011124","Scheduled services","Canadian air carriers, Level III","Goods carried","Kilograms","192","thousands","3","v122615195","1.2.3.3","14935","","","","0"
"2013","Canada","2016A000011124","Scheduled services","Canadian air carriers, Level III","Passenger-kilometres","Number","223","thousands","3","v122615196","1.2.3.4","252568","","","","0"
"2013","Canada","2016A000011124","Scheduled services","Canadian air carriers, Level III","Passenger tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615197","1.2.3.5","25257","","","","0"
"2013","Canada","2016A000011124","Scheduled services","Canadian air carriers, Level III","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615198","1.2.3.6","10141","","","","0"
"2013","Canada","2016A000011124","Scheduled services","Canadian air carriers, Level III","Total tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615199","1.2.3.7","35397","","","","0"
"2013","Canada","2016A000011124","Scheduled services","Canadian air carriers, Level III","Hours flown","Number","223","thousands","3","v122615200","1.2.3.8","106","","","","0"
"2013","Canada","2016A000011124","Charter services","Total, Canadian air carriers, Levels I to III","Passengers","Number","223","thousands","3","v122615201","1.3.1.2","4332","","","","0"
"2013","Canada","2016A000011124","Charter services","Total, Canadian air carriers, Levels I to III","Goods carried","Kilograms","192","thousands","3","v122615202","1.3.1.3","263735","","","","0"
"2013","Canada","2016A000011124","Charter services","Total, Canadian air carriers, Levels I to III","Passenger-kilometres","Number","223","thousands","3","v122615203","1.3.1.4","7461869","","","","0"
"2013","Canada","2016A000011124","Charter services","Total, Canadian air carriers, Levels I to III","Passenger tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615204","1.3.1.5","746187","","","","0"
"2013","Canada","2016A000011124","Charter services","Total, Canadian air carriers, Levels I to III","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615205","1.3.1.6","301180","","","","0"
"2013","Canada","2016A000011124","Charter services","Total, Canadian air carriers, Levels I to III","Total tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615206","1.3.1.7","1047367","","","","0"
"2013","Canada","2016A000011124","Charter services","Total, Canadian air carriers, Levels I to III","Hours flown","Number","223","thousands","3","v122615207","1.3.1.8","537","","","","0"
